uri_slug,pref_label,alt_labels,hidden_labels,definition,broader_slug,related_slugs,scope_note,example
refactoring,Refactoring,Code Refactoring|Software Refactoring|Code Restructuring|Code Improvement,,"The process of restructuring existing code to improve its design, readability, and maintainability without changing its external functionality.",software-development,,Source: software-dev-glossary.md,
referral-rate,Referral Rate,RR|Customer Referral Rate|Word-of-Mouth Rate|Referral Percentage|Advocacy Rate,,"The percentage of customers who actively refer new prospects or customers to the business, calculated by dividing referring customers by total customers and multiplying by 100.",marketing-seo,,Source: marketing-terms-glossary.md,
referring-domains,Referring Domains,RD|Unique referring domains|Linking domains,,"The number of unique websites having at least one link pointing to your website, with higher counts indicating broader industry recognition.",marketing-seo,,Source: seo-glossary.md,
regression,Regression,Linear Regression|Statistical Regression|Prediction Modeling|Numerical Prediction,,A machine learning technique used to predict continuous numerical values by finding relationships between input variables and target outcomes.,ai-machine-learning,,Source: ai-glossary.md,
reinforcement-learning,Reinforcement Learning,RL|Reward-Based Learning|Interactive Learning,,"A machine learning approach where agents learn to make decisions through trial and error, receiving rewards or penalties based on their actions in an environment.",ai-machine-learning,,Source: ai-glossary.md,
rent-collection,Rent Collection,Rental Collection|Payment Collection|Rent Gathering|Payment Processing,,"The process of collecting rental payments from tenants, including establishing payment methods, tracking payments, and handling delinquencies.",property-management,,Source: retail-property-glossary.md,
rentable-square-footage,Rentable Square Footage,RSF|Rentable Area|Gross Rentable Area|Billable Area|Rental Area|Rental Square Footage|Leasable Square Footage|Chargeable Area,,"The total area for which tenants pay rent, including both usable space and a proportionate share of common areas such as lobbies, restrooms, and corridors. Rentable square footage is the standard measurement used to calculate rental rates and is typically larger than usable square footage due to the inclusion of shared spaces.",property-management,,Source: retail-property-glossary.md,
rental-application,Rental Application,Tenant Application|Lease Application|Housing Application|Rental Form,,"A formal document completed by prospective tenants that provides personal, financial, and employment information used by landlords to evaluate rental candidates.",property-management,,Source: retail-property-glossary.md,
repeat-purchase-rate,Repeat Purchase Rate,RPR|Repeat Buyer Rate|Return Customer Rate|Repurchase Rate|Repeat Business Rate,,"The percentage of customers who make more than one purchase within a specified time period, calculated by dividing repeat customers by total customers and multiplying by 100.",marketing-seo,,Source: marketing-terms-glossary.md,
replication,Replication,Data Replication|Database Replication|Data Copying|Data Mirroring,,"The process of copying and maintaining identical data across multiple systems or locations to ensure availability, reliability, and disaster recovery capabilities.",operations,,Source: data-management-glossary.md,
repository,Repository,Repo|Code Repository|Source Repository|Code Storage|Source Storage,,"A storage location for software code, documentation, and related files, typically managed by version control systems like Git.",software-development,,Source: software-dev-glossary.md,
reputation-management,Reputation Management,Online reputation management|Review management|Brand reputation|Public relations,,"The practice of influencing and controlling an individual's or business's reputation through monitoring, responding to, and managing online reviews and public perception.",marketing-seo,,Source: business-plan-glossary.md,
reschedule-rate,Reschedule Rate,RR|Rescheduling Rate|Appointment Change Rate|Postponement Rate|Date Change Rate,,"The percentage of scheduled appointments that are moved to a different date or time rather than being cancelled, calculated by dividing rescheduled appointments by total appointments and multiplying by 100.",marketing-seo,,Source: marketing-terms-glossary.md,
resource-optimization,Resource Optimization,RO|Resource Efficiency|Resource Management|Efficiency Optimization,,The process of maximizing efficiency and effectiveness in the utilization of available resources to deliver services.,operations,,Source: service-as-product-glossary.md,
rest,REST,Representational State Transfer|Representational State Transfer|RESTful API|Web Service Architecture|HTTP API,,An architectural style for designing web services that uses standard HTTP methods and stateless communication for creating scalable web APIs.,software-development,,Source: software-dev-glossary.md,
retrieval-augmented-generation,Retrieval-Augmented Generation,RAG|Retrieval Augmented Generation|Knowledge-Enhanced Generation|Context-Augmented AI,,An AI architecture that combines information retrieval with generative models to produce more accurate and contextually relevant responses using external knowledge sources.,ai-machine-learning,,Source: ai-glossary.md,
retrospective,Retrospective,Sprint Retrospective|Review Meeting,,A meeting held after a project or sprint to reflect on what went well and what can be improved.,product-management,,Source: product-management-glossary.md,
return-on-ad-spend,Return On Ad Spend,ROAS|Ad Return|Advertising ROI|Ad Revenue Multiple|Advertising Return,,"The revenue generated for every dollar spent on advertising, calculated by dividing revenue attributed to ads by total ad spend, measuring campaign profitability and efficiency.",marketing-seo,,Source: marketing-terms-glossary.md,
